index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
35667,1,3,2.09073,1.91968,1.85018,0.105673,0.958158,0.0506057,0.901805,63.9265,126.682,23890.5,9.51712
35668,1,3,2.09073,1.95057,1.85672,0.105673,0.946009,0.0494008,0.901499,64.0141,127.641,127.641,9.51712
35669,1,3,2.08235,1.95057,1.85672,0.121162,0.946009,0.0495755,0.900897,64.0423,127.182,127.182,9.5077
35670,1,3,2.10484,1.95057,1.85672,0.0555186,0.946009,0.0492286,0.903259,63.8909,128.756,128.756,9.49828
35671,1,3,2.10484,1.95057,1.86018,0.0555186,0.946009,0.0491028,0.902937,63.8759,128.726,128.726,9.48888
35672,1,3,2.10484,1.95057,1.83689,0.0555186,0.946009,0.049966,0.904751,63.8919,128.758,128.758,9.47949
35673,1,3,2.10484,1.93919,1.83689,0.0555186,0.945316,0.050344,0.903951,63.6221,128.014,23891.1,9.47011
35674,1,3,2.10484,1.95057,1.82728,0.0555186,0.946009,0.0503336,0.904887,63.7421,128.456,23891.5,9.47011
35675,1,3,2.14209,1.95057,1.83689,0.040833,0.946009,0.0490073,0.904131,63.6403,129.253,129.253,9.47011
35676,1,3,2.14209,1.91987,1.83689,0.040833,0.937869,0.0501141,0.905391,63.7357,129,23891.3,9.46073
35677,1,3,2.14209,1.95057,1.84923,0.040833,0.946009,0.0485397,0.902363,63.4292,128.824,128.824,9.46073
35678,1,3,2.14586,1.95057,1.84923,0.0316597,0.946009,0.0484824,0.90254,63.3819,128.983,128.983,9.45137
35679,1,3,2.14586,1.95057,1.86303,0.0316597,0.946009,0.0479708,0.90185,63.4812,129.186,129.186,9.44201
35680,1,3,2.1312,1.95057,1.86303,0.0423202,0.946009,0.0483158,0.901099,63.3757,128.485,128.485,9.43267
35681,1,3,2.17593,1.95057,1.86303,0.0286573,0.946009,0.0472265,0.90079,63.2432,129.295,129.295,9.42333
35682,1,3,2.18768,1.95057,1.86303,0.0278416,0.946009,0.0469503,0.901353,63.3978,129.832,129.832,9.414
35683,1,3,2.18768,1.95057,1.89447,0.0278416,0.946009,0.0458264,0.898698,63.3749,129.785,285.941,9.40468
35684,1,3,2.18768,1.95057,1.86041,0.0278416,0.946009,0.0470473,0.902109,63.5357,130.114,130.114,9.40468
35685,1,3,2.09073,1.95231,1.84749,0.105673,0.97141,0.0495185,0.901322,64.0416,127.298,127.298,9.39537
35686,1,3,2.11678,1.95231,1.84749,0.117717,0.97141,0.0486945,0.900556,64.0581,127.573,127.573,9.38607
35687,1,3,2.11678,1.94687,1.84749,0.117717,0.97305,0.0488611,0.900585,64.0555,127.437,127.437,9.37678
35688,1,3,2.11678,1.94687,1.86009,0.117717,0.97305,0.0484154,0.899303,63.9623,127.252,282.475,9.3675
35689,1,3,2.13254,1.94687,1.84749,0.126656,0.97305,0.0483781,0.89969,63.9773,127.384,282.011,9.3675
35690,1,3,2.11678,1.94457,1.84749,0.117717,0.959966,0.0490208,0.900397,63.8703,127.245,127.245,9.3675
35691,1,3,2.10491,1.94457,1.84749,0.112956,0.959966,0.0493853,0.900526,63.8155,127.013,127.013,9.35823
35692,1,3,2.10491,1.94457,1.82178,0.112956,0.959966,0.0503348,0.901508,63.5914,126.567,23889.6,9.34896
35693,1,3,2.10491,1.93492,1.84749,0.112956,0.982776,0.0495595,0.901479,64.2372,127.281,127.281,9.34896
35694,1,3,2.11909,1.94457,1.84749,0.124506,0.959966,0.0489188,0.8994,63.7108,126.82,281.895,9.34896
35695,1,3,2.10491,1.93101,1.84749,0.112956,0.980295,0.0497094,0.900259,63.8788,126.539,126.539,9.34896
35696,1,3,2.10491,1.93101,1.84458,0.112956,0.980295,0.0498118,0.898644,63.4161,125.622,281.862,9.33971
35697,1,3,2.10491,1.95489,1.84749,0.112956,1.0085,0.0487253,0.899868,64.1893,127.12,281.472,9.33971
35698,1,3,2.10491,1.93101,1.86116,0.112956,0.980295,0.0492362,0.899288,63.8809,126.543,281.79,9.33971
35699,1,3,2.10491,1.91033,1.84749,0.112956,0.957025,0.0505886,0.900386,63.5787,125.945,23889.8,9.33971
35700,1,3,2.10491,1.93101,1.83002,0.112956,0.980295,0.050333,0.901393,63.8548,126.491,23889.5,9.33971
35701,1,3,2.10491,1.93101,1.86264,0.112956,0.980295,0.0491855,0.900434,64.2002,127.175,127.175,9.33971
35702,1,3,2.10491,1.90284,1.86264,0.112956,0.968561,0.0502757,0.902604,64.4976,127.423,23890.3,9.33047
35703,1,3,2.10491,1.93101,1.82481,0.112956,0.980295,0.0505232,0.903729,64.3723,127.516,23891.1,9.33047
35704,1,3,2.10491,1.93101,1.86312,0.112956,0.980295,0.0491692,0.900998,64.3539,127.48,127.48,9.33047
35705,1,3,2.10491,1.94603,1.86312,0.112956,0.952007,0.0488292,0.902662,64.5952,128.728,128.728,9.32123
35706,1,3,2.11909,1.94603,1.86312,0.129018,0.952007,0.0483383,0.902333,64.7543,128.956,128.956,9.312
35707,1,3,2.18099,1.94603,1.86312,0.114353,0.952007,0.0468131,0.901585,64.4886,129.911,129.911,9.30279
35708,1,3,2.09164,1.94603,1.86312,0.145201,0.952007,0.0490492,0.901361,64.6633,127.861,127.861,9.30279
35709,1,3,2.09164,1.9505,1.86312,0.145201,0.951195,0.0489074,0.902046,64.8571,128.343,128.343,9.29358
35710,1,3,2.06677,1.93831,1.84749,0.127567,0.968188,0.0506212,0.899215,63.6346,125.324,24044.6,9.28438
35711,1,3,2.09073,1.93831,1.82399,0.105673,0.968188,0.0508529,0.901119,63.4595,125.936,23890.6,9.28438
35712,1,3,2.09073,1.96141,1.84749,0.105673,0.934365,0.0494609,0.901323,63.7399,127.488,127.488,9.28438
35713,1,3,2.09073,1.96141,1.81479,0.105673,0.934365,0.0507131,0.904304,63.8888,127.785,23892,9.27519
35714,1,3,2.09073,1.96141,1.8139,0.105673,0.934365,0.0507482,0.904003,63.7929,127.594,23891.9,9.27519
35715,1,3,2.09073,1.93475,1.84749,0.105673,0.928199,0.0503623,0.902126,63.7635,127.143,23890.3,9.27519
35716,1,3,2.09073,1.96141,1.83472,0.105673,0.934365,0.0499406,0.901683,63.5865,127.181,127.181,9.27519
35717,1,3,2.09073,1.9911,1.83472,0.105673,0.907921,0.049224,0.90201,63.5725,128.123,128.123,9.26601
35718,1,3,2.09073,1.97963,1.83472,0.105673,0.955576,0.0492582,0.90025,63.4976,126.984,126.984,9.26601
35719,1,3,2.09073,1.97963,1.85634,0.105673,0.955576,0.0484525,0.897735,63.2804,126.549,284.19,9.25683
35720,1,3,2.09073,1.97963,1.81415,0.105673,0.955576,0.050056,0.902934,63.7997,127.588,23889.8,9.25683
35721,1,3,2.09073,1.97963,1.82657,0.105673,0.955576,0.0495704,0.901417,63.6413,127.271,127.271,9.25683
