index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
33771,1,3,2.18836,1.99482,1.98999,-0.100155,1.17843,0.0403982,0.909256,69.9702,141.795,141.795,22.0411
33772,1,3,2.18836,1.99482,1.89639,-0.100155,1.17843,0.0429976,0.912564,69.2405,140.317,140.317,22.0193
33773,1,3,2.18836,1.99482,1.94807,-0.100155,1.17843,0.041504,0.910735,69.6229,141.092,141.092,21.9975
33774,1,3,2.18836,1.99482,1.8585,-0.100155,1.17843,0.0441863,0.912437,68.5694,138.957,138.957,21.9757
33775,1,3,2.18836,2.02649,1.8585,-0.100155,1.06251,0.0443722,0.916492,67.9588,140.89,140.89,21.9539
33776,1,3,2.16003,2.02649,1.8585,-0.0325578,1.06251,0.0448822,0.913246,67.529,138.238,138.238,21.9322
33777,1,3,2.16003,1.92544,1.8585,-0.0325578,0.997013,0.0485793,0.923927,69.4243,141.378,141.378,21.9105
33778,1,3,2.14867,1.92544,1.8585,-0.0155642,0.997013,0.0488021,0.923554,69.4606,140.888,140.888,21.8888
33779,1,3,2.14867,1.91929,1.8585,-0.0155642,0.937852,0.0494163,0.92743,70.03,143.103,143.103,21.8671
33780,1,3,2.04512,1.86789,1.82468,0.466009,1.21719,0.0498611,0.890082,70.0134,122.527,291.964,21.8671
33781,1,3,2.06301,1.86789,1.63513,0.38968,1.21719,0.0552649,0.897964,68.7934,122.859,24058.4,21.8671
33782,1,3,2.15214,1.86789,1.82468,0.268577,1.21719,0.0484572,0.904879,70.2731,130.507,130.507,21.8671
33783,1,3,2.15214,1.86789,1.82693,0.268577,1.21719,0.0483993,0.903586,69.9194,129.85,129.85,21.8455
33784,1,3,2.15214,1.86789,1.86388,0.268577,1.21719,0.0474797,0.907337,71.4572,132.706,132.706,21.8239
33785,1,3,2.15214,1.86789,1.81726,0.268577,1.21719,0.0486498,0.91236,72.4887,134.622,134.622,21.8023
33786,1,3,2.15214,2.07828,1.81726,0.268577,1.23988,0.042175,0.910599,73.0827,139.941,139.941,21.7807
33787,1,3,2.15214,2.07828,1.77056,0.268577,1.23988,0.0436956,0.919285,75.3783,144.336,144.336,21.7591
33788,1,3,2.15214,2.07828,1.84756,0.268577,1.23988,0.0412415,0.915667,75.1054,143.814,143.814,21.7376
33789,1,3,2.15214,2.06967,1.84756,0.268577,1.23525,0.0414809,0.916976,75.4304,144.343,144.343,21.7161
33790,1,3,2.15214,2.06967,1.78854,0.268577,1.23525,0.0433355,0.917668,74.9207,143.368,143.368,21.6946
33791,1,3,2.2026,2.06967,1.78854,0.374576,1.23525,0.0413718,0.914335,76.1023,143.958,143.958,21.6731
33792,1,3,2.19432,2.06967,1.78854,0.370625,1.23525,0.0415964,0.915081,76.2517,144.155,144.155,21.6516
33793,1,3,2.19101,2.06967,1.78854,0.317331,1.23525,0.0420422,0.917479,75.895,144.876,144.876,21.6302
33794,1,3,2.19101,2.13652,1.78854,0.317331,1.18146,0.0414074,0.921797,76.5679,148.738,148.738,21.6088
