n,c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f
104.41867175216267,0.6475757010433999,3.886284880020777,4.0,4.0,4.0,2.0
154.14925231202352,3.1138414996781045,0.08216722809174581,4.0,4.0,4.0,2.0
17.883783093156087,0.28445014334508245,3.9919227563086235,0.0,0.0,0.0,2.0
154.14925231202352,0.10026835988264166,0.011013294865377244,0.0,0.0,0.0,2.0
113.0748839930685,4.835607941785289,0.026505938104904748,0.0,0.0,0.0,2.0
103.07622547695838,2.0053201108105148,3.732195038364473,0.0,0.0,0.0,2.0
38.99115365257386,3.9686490651536213,3.955650966691456,0.0,0.0,0.0,2.0
2.0,-1.1643920582147107,1.1161102434063463,4.0,4.0,4.0,2.0
64.92347734622507,-0.2596384943855997,0.003461923128635288,4.0,4.0,4.0,2.0
2.0,3.7653538416721037,3.8471145321322897,4.0,4.0,4.0,2.0
154.14925231202352,3.929586867662789,3.933106762445212,0.0,0.0,0.0,2.0
34.81590058705796,4.835607941785289,0.6513043109584205,4.0,4.0,0.0,2.0
115.59271164824837,-1.1643920582147107,3.8275842961193107,4.0,4.0,4.0,2.0
15.027019802067432,1.8515975975913372,3.1548994382298834,4.0,0.0,4.0,1.505397103863588
154.14925231202352,0.9196517889281954,0.23574878692479376,4.0,4.0,4.0,2.0
108.27041162830531,2.8547036261286083,3.8785952542047233,4.0,4.0,4.0,2.0
54.93187036439118,-1.1643920582147107,1.0927242884908923,0.0,4.0,4.0,2.0
154.14925231202352,-1.1643920582147107,3.413811792014194,0.0,0.0,0.0,2.0
2.0,0.8773730112584821,2.3341222582667367,0.0,0.0,0.0,2.0
80.01195653244986,0.4129770445541466,3.9480223269270254,0.0,0.0,0.0,2.0
66.79200123017876,3.5622309756741237,3.9638626322393593,0.0,4.0,4.0,1.7578445960252342
20.966172700573672,1.8457269303315829,3.309996089859127,0.0,0.0,0.0,2.0
2.0,-1.1643920582147107,0.16634174371484134,4.0,0.0,1.1720811809157097,2.0
2.0,1.7108906904851733,0.0024623596557601666,2.0146497601689815,2.0512718335721187,2.7230547860678627,2.0
2.0,-1.1643920582147107,0.6342912114540081,4.0,0.5196352016019127,0.12813995727899863,2.0
154.14925231202352,-1.1643920582147107,0.015849657421831406,0.0,3.037479062645431,0.0,2.0
154.14925231202352,4.835607941785289,0.0755123316001234,0.0,2.8533394592224632,4.0,2.0
154.14925231202352,4.835607941785289,3.9686388594129802,4.0,1.4456827910512366,4.0,2.0
154.14925231202352,4.835607941785289,0.12336631612605048,4.0,0.22263589204980092,0.3868805577873851,2.0
2.0,4.835607941785289,0.12196680812335689,0.0,0.0,1.5370969185363208,2.0
154.14925231202352,4.835607941785289,0.00942573783243173,0.0,4.0,1.7478025019380798,2.0
2.0,4.835607941785289,0.4466387049639866,2.704195333444105,0.5857929230545443,1.0408930551332782,2.0
154.14925231202352,-1.1643920582147107,0.25248549909146817,0.0,1.281093682443627,4.0,2.0
154.14925231202352,4.835607941785289,0.01013236934064399,4.0,3.0494675120895645,1.9339729435179556,2.0
154.14925231202352,4.835607941785289,3.978079647974618,3.5682127203265304,1.2951370797661679,0.9087693460614882,2.0
2.0,-1.1643920582147107,0.14987226154538386,4.0,2.7592661392093474,4.0,2.0
2.0,-1.1643920582147107,3.982833394678173,0.0,4.0,0.0,2.0
154.14925231202352,-1.1643920582147107,0.029457390314103302,0.0,1.9776661448877446,0.0,2.0
2.0,-1.1643920582147107,3.895093089841336,4.0,2.892232606273744,0.0,2.0
2.0,4.835607941785289,0.029054590516129228,3.348668166915192,1.1575376698455095,0.7893737015879332,2.0
2.0,4.835607941785289,0.0022376473672736526,0.0,3.463828156231094,4.0,2.0
2.0,4.835607941785289,3.9610530188862847,0.0,2.4655961578709245,0.0,2.0
154.14925231202352,4.835607941785289,0.025239487600092755,4.0,3.4972959386626403,0.0,2.0
2.0,-1.1643920582147107,0.05258064003826058,0.0,0.3977961183098008,4.0,2.0
154.14925231202352,-1.1643920582147107,3.988253723972539,3.4186848551643707,0.9478055305548749,0.0,2.0
2.0,4.835607941785289,0.06707104058254644,4.0,0.6933626564549683,4.0,2.0
154.14925231202352,4.835607941785289,3.9995459604852557,4.0,2.3212093828559284,4.0,2.0
154.14925231202352,-1.1643920582147107,0.004904287230049874,4.0,1.6521642183341345,0.0,2.0
2.0,-1.1643920582147107,3.8146663559483107,1.9247632928552663,1.6497008985049313,4.0,2.0
2.0,-1.1643920582147107,0.04289171911716045,4.0,3.420541700615126,4.0,2.0
154.14925231202352,-1.1643920582147107,3.970878162413488,0.0,2.296615057480387,4.0,2.0
60.54422666516752,-1.1643920582147107,0.0,0.803856186147968,0.09824687060103825,1.2997718273758272,2.0
51.395617153951754,4.70667787808116,0.005307807471952467,3.9465759275080328,0.645875752293416,0.42812449359907023,2.0
154.14925231202352,0.6047959234653004,3.9300306516868027,2.2623474329839524,1.7975721993601887,4.0,2.0
154.14925231202352,3.091063441104286,3.5838842692714934,1.8346457253778972,2.0355460603249016,0.0,2.0
154.14925231202352,-0.6643977069927082,0.05960173594724218,1.1453296462419733,3.288885700837118,4.0,2.0
52.9376661616234,4.77560674227457,3.9911030435110875,2.951894242480346,3.659347387413896,4.0,2.0
154.14925231202352,4.01352874815048,0.0025990296586665285,2.6389224124969366,2.070015796738312,1.6443610960245736,2.0
48.1135253923768,-0.5381402079166893,3.8530538783685366,4.0,0.9067196850103815,1.7346737966679457,2.0
154.14925231202352,1.409899553980967,0.012597373479509484,0.9432922454480909,2.5962508520780028,0.0,2.0
2.0,-0.9515209466970763,3.9744965097931373,0.9772254157167896,3.9616189286413266,4.0,2.0
154.14925231202352,-0.7246863039878841,3.9862478708987443,3.1355139485846966,0.19164376944287673,4.0,2.0
89.81702922824992,2.676909222840293,3.9894757207272566,2.6995073730544155,0.4399390624192309,0.0,2.0
2.0,2.3429049008394,1.1520391476461718,0.7222712597689732,3.353265590338733,1.1273943962382622,2.0
154.14925231202352,2.972788288291559,3.9968732068848096,1.557054525201032,3.738699592814267,2.1210092891417953,2.0
83.52156577127275,0.9990233410096485,0.020822283749830743,1.697479649517618,3.630314978396605,4.0,2.0
68.4270736941074,2.7031715480666882,3.966035700120449,2.259216402150137,3.973766506780669,1.9880962844671013,2.0
2.0,3.7535558858731575,3.647801547378009,1.9312348040307417,3.9998289895379027,1.0586755642946828,2.0
2.0,1.9525654584331744,3.9626197142882935,3.2510859659857982,0.12379404923164739,2.9885764433367967,2.0
89.90720921993953,2.2279644131814798,3.946063381832466,0.721872525892883,3.409271728589391,4.0,2.0
83.10225198866064,-0.3985511370398331,0.04223869449895764,1.4144457378886275,1.0391154591809297,0.0,2.0
154.14925231202352,1.1399807740507575,3.952882113301067,0.7378869431529447,1.41521554885969,2.1530998740892366,2.0
87.34000102115998,1.2368219980033703,0.024430197574572772,3.22840465560471,0.34844334941754357,1.9787700023875814,2.0
2.0,0.2353046786419064,0.09562060062972147,1.4886040995202563,1.0329467084391355,0.0,2.0
154.14925231202352,2.014695516425199,0.030076969919013978,2.6045110890595504,1.2552593638448284,0.0,2.0
88.90504037951213,-1.0684715947693952,3.9811744802611666,0.0,3.5650020634340396,2.310583386883729,2.0
2.0,0.9914474890609427,0.02135384642898834,2.627711582722848,0.4518984986250745,4.0,2.0
20.63545599820521,1.8801569319847673,0.2613514153592725,3.919860392313134,1.5171508784133918,0.2801567876944194,0.4546023926927407
154.14925231202352,3.0424150025037027,3.90532579539523,3.2273511377834665,2.882379991847591,2.6494329724427583,2.0
2.0,3.142642290940534,3.737022559353875,2.5114653411602497,3.9980797538319544,0.0,2.0
2.0,0.9967135024411317,3.938526216740094,0.0,1.1140088239297914,2.770370381159973,2.0
2.0,4.044028321936989,3.91867862630315,4.0,1.638841726123622,2.8217910614359467,2.0
35.53937100691467,1.3845711835747911,0.08460818537981882,3.7090507804687642,2.9807871356613913,0.9254277613420266,2.0
91.24995631312059,4.55125110196771,0.06565313695966668,2.4466560932495565,2.15752398678614,4.0,2.0
2.0,1.6480803467000282,0.23853820509875537,1.1092794540350137,3.6442563718987575,2.7266503767743084,2.0
154.14925231202352,2.2441402201506095,0.007257772074654468,2.193120849474548,1.7096335971467744,2.6669022778248053,2.0
2.0,3.514509172732176,3.841754064929334,2.6491395832540423,0.4578191125919531,2.2476876917108566,2.0
100.5353844138246,3.0137393353988418,0.03685307105887234,1.751072003002093,2.483829048624504,1.2540889222074934,2.0
97.01680260759646,0.6138445188441265,3.8558611060322923,4.0,1.0251827639167836,2.6486023574796826,2.0
94.00522527826803,3.0507870370202634,0.0014267971620355194,1.2187554407407593,1.7194092545857886,2.770654475848199,2.0
2.0,0.530475127112915,3.0151606747407196,3.4012023759915317,0.30442361661108935,4.0,2.0
93.15847536106514,-1.0016319982424113,3.8675140226608513,0.6969124632954717,1.0514295633806963,0.0,2.0
101.80088321549268,0.5402685827114194,0.21176534971077074,4.0,1.4126089645787854,0.8379011959608713,2.0
2.0,0.7153939032162254,3.9993639311257785,3.400707752305064,0.10760022100076325,1.7915537094821963,2.0
94.51581038014024,1.322806559003439,3.9747499621439895,3.3389969919242533,2.374960819224666,4.0,2.0
154.14925231202352,0.9494232972770507,3.9850496741169223,0.0,2.7810515337076844,2.886648140962197,2.0
154.14925231202352,2.6209395078729276,0.016233909163433823,1.1747697179184327,0.27257102924051835,1.1208444101721944,2.0
154.14925231202352,0.2323348815580819,3.7553484722105517,1.703358146982898,1.068230266014996,4.0,2.0
154.14925231202352,-0.5916436634376571,3.9640714585493138,0.5812091034741459,0.6045555279654177,4.0,2.0
91.17229294311521,1.289747255417379,0.08767521313797794,2.088498645710829,0.3800483326158389,0.0,2.0
2.0,2.943036352026373,1.689310393632351,1.778262473207738,1.7324962188772948,1.9257862473953944,2.0
32.368134283755026,-0.2568102314636138,0.000642009320636423,2.038643169525587,3.4300553057017256,1.698578879907467,2.0
93.64753397099388,-0.1435565591318941,3.972018629319334,2.663622017639605,0.577537244790511,2.685142223821974,2.0
18.958696995770467,2.765500052417359,0.9250896695165879,3.9267633402935966,1.0959913867410958,0.08442725005492666,2.0
33.41007423680559,3.4356157898707713,0.17084614825055447,3.8955511896350496,3.4894300946114853,0.5312904655876155,2.0
15.72956617955752,2.5058226504007237,0.7211236170774782,3.8648965169653033,0.0036191773289499696,1.808596421622468,2.0
4.712150550164926,1.3418159163373824,1.995388532243229,0.7802533002038903,0.3380932913552712,0.4563682240371562,2.0
98.26971727108571,0.7572263510677826,1.7017159087570377,0.366068910342662,0.7144500089805517,3.457327304270568,2.0
121.32892116872826,1.744881186137857,2.546402447610018,2.828814866740717,3.6771283760745677,2.3668589061719336,2.0
12.55451178131999,3.343419675920334,0.7966952383955563,2.3549834301590558,2.9529583332831724,0.40039295765750094,2.0
39.56550002117858,-1.1035135612951783,0.7386577123550904,3.045291315376063,2.0023480639013513,3.670978381566842,2.0
4.444366611488567,4.768439863760021,2.811728980985256,3.4904388763233385,0.8368931099806325,3.734780329826255,2.0
151.86207036167582,4.072899560038181,0.8508112704549422,0.28837376532622283,2.1958250569357194,2.6985123923280536,2.0
150.2647190054141,1.0715566784945318,0.9294175281539908,0.4415377997944271,3.273053202684218,0.9295596038352237,2.0
5.249245285325843,-1.0678721442553245,0.5822506551659627,0.8755593836744661,1.6699708738815264,2.0720689047043246,2.0
152.54580357370688,1.4632574293715885,3.150612395791182,3.7778990966797408,2.766271960820153,3.3121818521873525,2.0
152.1018681849923,1.1286165247875442,0.3826195048069584,1.044833948435818,2.22858303744497,2.687503787759472,2.0
153.20559020998087,0.492424969683662,2.8549269845345884,2.7640026568946903,3.6135431764026826,3.4430529436267516,2.0
