c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
1.6993400281446343,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.969651208717944,0
1.8149224883279367,0.0,0.71989435135035,0.45926121137616366,0.9474136660149569,0
1.9134988052176907,0.03520740782659626,0.6503161351285583,0.0,1.1734470854319234,0
1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,1.2397438517764678,0
1.7929737117438376,0.10634645785589192,0.8625499355775509,0.34533480412257606,1.0262046143733854,0
1.6201784974798232,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.1532486044519603,1
1.5870514014762431,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.5896112806684555,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.5917089505891693,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.5965835182756414,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,1
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.9328274523202695,0
1.591520737684136,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3149925323251692,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
1.595238391782763,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3155737691539502,0
1.5966806226391235,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3144436311629548,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.5989392382154834,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3151698854115448,0
1.6745652793289958,0.3378515687040468,0.8395212511234387,0.5461179681433668,0.9583510759845999,0
1.7232597440895423,0.3378515687040468,1.0115322354916874,0.19103317886712323,0.8240757062936017,0
1.5999732612131499,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3157370132515245,0
1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.5356079417852893,0.0,0.4115322354916873,0.0,0.8240757062936017,0
1.6832284833150217,0.3378515687040468,0.873804076246108,0.5461179681433668,0.9602048930542324,0
1.9095860063236147,0.04683405999645618,0.6571954399430848,0.0,1.171069408854208,0
1.601077872004453,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.315852893818163,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
1.796358101053052,0.10873408607288322,0.8545811177045104,0.31855538178814813,1.0213999483344338,0
1.898612461632071,0.0,0.6298532358115352,0.10093836913545495,1.1698111278040928,0
1.7315035736558577,0.3378515687040468,1.0115322354916874,0.16707846811656393,0.8240757062936017,0
1.6025196397265093,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3153333882669624,0
1.907985049212401,0.05282675353193324,0.6613868479152409,0.0,1.1707864719845644,0
1.7967093618488674,0.10664879183249247,0.8546539676287049,0.3258713326102178,1.0206989326471476,0
1.70296813683836,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9640338182594337,1
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.7263521873002279,0.3378515687040468,1.0115322354916874,0.2039304586293841,0.8240757062936017,0
1.9076298334102206,0.052823775059059046,0.663352024729188,0.0,1.171292399900123,0
1.5356079417852893,0.0,0.4115322354916873,0.0,0.8240757062936017,0
1.8031447087439372,0.09876155905794577,0.8487285745517898,0.30898107516019546,1.027249215195738,0
1.60426687763847,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.3168089840856638,0
1.8969731428120655,0.0,0.6322758659719198,0.10804116347439537,1.1699237695454463,0
1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.802610543786987,0.10146327271564134,0.8521121931171094,0.30861724949810937,1.027309922152117,0
1.9071296235065514,0.056386927812107475,0.6660250892794959,0.0,1.1710747198971831,1
1.723998192882186,0.3255260709870572,0.4115322354916873,0.0,0.8240757062936017,1
1.7757515595281148,0.1667367951221127,0.8615245253507448,0.33924045697365623,0.8240757062936017,1
1.808597403757781,0.08404996959557408,0.4115322354916873,0.0,0.8240757062936017,0
1.844334765522572,0.05976520222272787,0.8498074996091395,0.19596312933939455,0.8240757062936017,0
1.8086172733399064,0.09341763890767331,0.4115322354916873,0.0,0.8240757062936017,0
1.7428709741042872,0.3378515687040468,1.0115322354916874,0.1357339250754244,0.8240757062936017,0
1.8425749512167615,0.062513627605408,0.8556963651057761,0.20606476126829404,0.8240757062936017,0
1.741853930522495,0.3378515687040468,1.0115322354916874,0.15069532299110464,0.8240757062936017,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
1.8414728917500622,0.06631523832587286,0.8562304737741966,0.2061152380904039,0.8240757062936017,0
1.8405068642038351,0.0696539397487327,0.8571458404021622,0.20558692753665558,0.8240757062936017,0
1.9617692566532883,0.0,0.7255973721865335,0.0,1.3418140772718128,1
1.8340956299175686,0.13934858100196584,0.6086290664151929,0.0,0.8240757062936017,1
1.83109900644543,0.13124775212730364,0.6756244299412253,0.0,0.8240757062936017,0
1.750940446335843,0.3378515687040468,1.0115322354916874,0.1020196099849561,0.8240757062936017,0
